team,adjO,adjD
SMU,103.6,101.2
Virginia Tech,106.3,104.0
Saint Mary's,98.5,96.3
Davidson,103.2,101.0
Stephen F. Austin,105.6,103.5
Bradley,103.1,101.2
American,103.6,101.6
East Tennessee St. 5,101.3,99.6
Pepperdine,110.2,108.5
Arkansas Little Rock,102.3,100.7
Vermont 6,101.1,99.5
Morehead St.,109.6,108.1
Air Force,105.2,104.0
Oral Roberts,104.6,103.4
Fairfield,99.2,98.2
Yale,100.1,99.2
South Alabama,105.4,104.6
Sam Houston St. 5,101.5,100.6
Brown,105.6,104.8
Iona,102.2,101.7
Arkansas St.,107.7,107.2
IUPUI 6,102.9,102.5
Old Dominion,99.2,98.9
La Salle,102.4,102.1
East Carolina,99.3,99.1
Belmont,103.2,103.0
Southern Miss,98.9,98.8
Northwestern,105.0,104.9
Ohio,104.5,104.7
Ball St.,106.5,106.8
TCU,106.0,106.5
Delaware,99.5,99.9
New Orleans,101.7,102.2
Appalachian St.,103.5,104.2
Marshall,102.2,102.9
Mercer,106.4,107.3
Pacific,99.9,100.8
Niagara,109.5,110.4
Akron,110.0,110.9
Wagner 5,104.7,105.9
Eastern Illinois,106.8,108.1
Cal Poly,98.4,99.7
Evansville,105.9,107.5
Boise St.,96.0,97.5
Bowling Green,98.7,100.6
Oakland,103.7,105.7
Idaho St.,99.6,101.8
New Mexico,107.7,110.0
Louisiana Tech,101.8,104.1
Cal St. Northridge,100.6,103.1
Northern Arizona,99.5,102.1
Jacksonville St.,103.5,106.2
UT Arlington,97.8,100.5
Montana,104.3,107.1
Northern Iowa,102.0,104.8
Massachusetts,96.5,99.8
Southwest Texas St.,101.4,104.7
Maine,99.5,102.9
Binghamton,96.7,100.3
Hartford,98.2,101.9
Wofford,104.2,108.0
Green Bay,103.3,107.1
Canisius,99.3,103.0
Eastern Michigan,104.0,107.8
Loyola Marymount,98.4,102.5
Samford,101.0,105.1
Duquesne,99.4,103.5
Portland,98.7,103.0
Washington St.,101.5,105.8
Penn St.,98.6,103.2
Idaho,96.4,101.0
McNeese St.,100.4,105.2
Houston,93.2,98.0
Marist,101.4,106.7
Northeastern,98.9,104.2
Illinois St.,99.4,104.9
Wright St.,102.1,107.7
James Madison,99.5,105.2
Harvard,98.3,104.0
Montana St.,100.2,105.9
Bucknell,91.1,96.8
Rider,99.2,104.9
Winthrop,97.1,102.9
Lehigh,98.3,104.2
Georgia St.,101.5,107.6
Drake,101.7,107.9
Santa Clara,96.9,103.2
FIU,95.0,101.3
Birmingham Southern,100.5,107.1
Quinnipiac,99.1,105.8
Tennessee Martin,100.5,107.3
Georgia Southern,102.2,109.2
North Texas,99.3,106.6
Furman,97.9,105.2
Cal St. Fullerton,101.4,108.9
Colgate,97.4,105.2
Mississippi Valley St.,104.2,112.0
Saint Peter's,100.3,108.3
Central Connecticut,101.1,109.2
St. Francis NY,100.5,108.6
Cleveland St.,97.7,105.8
Hampton,94.8,102.9
Monmouth,91.9,100.1
Lamar,92.7,101.3
South Carolina St. 6,96.4,105.0
Centenary,103.1,111.7
Sacramento St.,94.1,103.0
Lafayette,101.3,110.3
UNC Greensboro,97.7,106.8
Prairie View A&M,97.4,106.5
Charleston Southern,94.2,103.3
Southeast Missouri St.,102.1,111.3
Texas A&M Corpus Chris,99.0,108.3
Youngstown St.,93.1,102.4
Louisiana Monroe,94.4,104.0
Hofstra,95.0,104.7
St. Francis PA,94.3,104.1
Alabama St.,90.9,100.9
Fordham,97.2,107.4
Buffalo,95.4,105.8
Texas Southern 6,98.3,108.7
Coastal Carolina,98.4,108.8
Southeastern Louisiana,95.7,106.2
Jacksonville,93.4,104.0
Delaware St.,98.1,108.7
Southern Utah,101.2,111.9
Indiana St.,90.9,101.7
Jackson St.,94.0,104.9
UC Riverside,98.8,109.8
Eastern Kentucky,99.5,110.4
Florida A&M,98.1,109.1
Stony Brook,95.5,106.6
IPFW,95.8,106.9
William & Mary,100.7,111.9
UMKC,101.8,113.1
Portland St.,87.2,98.7
Howard,97.6,109.2
Gardner Webb,90.7,102.3
Alcorn St.,92.5,104.3
Fairleigh Dickinson,97.2,109.0
San Jose St.,96.1,107.9
Western Carolina,98.8,110.7
UTSA,93.8,105.8
UNC Asheville 6,101.2,113.5
Dartmouth,95.6,108.1
Robert Morris,103.6,116.3
LIU Brooklyn,97.8,110.7
Coppin St.,94.2,107.4
Florida Atlantic,92.1,105.4
VMI,91.5,105.6
Navy,90.5,104.7
The Citadel,89.8,104.0
Elon,93.0,107.3
Cornell,92.5,107.6
Norfolk St.,88.1,103.4
Long Beach St.,96.9,112.3
UTEP,93.4,109.0
Liberty,89.0,104.6
Grambling St.,95.7,111.8
Mount St. Mary's,90.5,106.7
Lipscomb,98.8,115.1
Stetson,95.5,111.8
Texas Pan American,89.5,105.9
Sacred Heart,93.9,110.7
UMBC,90.0,106.8
Northwestern St.,85.2,102.1
Western Illinois,93.5,110.7
High Point,95.6,113.4
Chicago St.,93.2,111.4
Alabama A&M,90.0,108.2
New Hampshire,94.0,112.5
Albany,94.8,113.3
Southern,90.1,109.0
Radford,88.6,108.2
Bethune Cookman,89.4,111.8
Loyola MD,87.7,110.4
Columbia,82.7,105.7
Towson,84.6,108.4
Campbell,92.2,116.7
Maryland Eastern Shore,91.4,116.1
Morgan St.,92.1,117.4
Nicholls St.,87.5,113.0
Arkansas Pine Bluff,77.2,102.9
Army,85.6,111.3
Savannah St.,78.2,105.2
Morris Brown,86.9,114.4
Tennessee St.,91.0,118.8
North Carolina A&T,84.1,119.4

