team,adjO,adjD
Cal St. Northridge,95.6,104.8
Gardner Webb,100.4,109.6
Eastern Michigan,100.0,109.4
Princeton,97.0,106.4
UMBC,101.1,110.6
St. Francis NY,93.1,102.7
Alabama A&M,94.5,104.1
Jackson St.,95.7,106.0
Oakland,103.9,114.3
Hampton 6,91.9,102.3
East Carolina,95.6,106.3
UNC Greensboro,99.5,110.3
FIU,89.6,100.5
South Carolina St.,92.4,103.4
IPFW,97.0,108.0
New Hampshire,98.2,109.3
Southern Miss,97.4,108.6
UMKC,102.1,113.4
Coppin St.,95.4,107.2
Stetson,95.6,107.5
LIU Brooklyn,97.1,109.1
Louisiana Monroe,92.8,105.0
Arkansas Pine Bluff,85.0,97.5
Campbell,101.0,113.6
Colgate,92.6,105.2
UC Davis,98.6,111.2
Norfolk St.,90.9,104.0
Idaho,97.8,110.9
Alabama St.,94.0,107.5
Florida A&M,97.8,111.5
Lafayette,97.5,111.3
Maine,95.3,109.2
Bethune Cookman,95.3,109.3
UNC Asheville,97.0,111.1
Brown,91.3,105.5
Columbia,97.0,111.7
Western Illinois,94.8,109.6
South Dakota St.,91.6,106.7
Central Michigan,89.1,104.1
Duquesne,99.7,114.9
Northern Colorado,100.3,115.8
UC Riverside,90.6,106.1
Navy,93.7,109.2
Grambling St.,91.7,107.4
Dartmouth,94.8,110.7
Nicholls St.,96.8,112.7
Kennesaw St.,97.8,113.8
Southeast Missouri St.,93.0,109.3
Alcorn St.,93.0,109.4
James Madison,96.5,113.2
Longwood,96.9,113.6
Stony Brook,92.2,109.1
Eastern Illinois,92.1,109.0
Howard,93.6,110.9
VMI,91.6,109.5
Centenary,94.1,112.7
Mercer,97.1,115.8
Texas Southern,92.2,111.3
North Carolina A&T,86.0,105.6
Texas St.,93.1,113.0
Mississippi Valley St.,93.9,113.9
Liberty,91.2,111.3
North Florida,94.5,115.7
Maryland Eastern Shore,90.7,112.0
St. Francis PA,93.9,115.4
Texas Pan American,88.4,110.0
Morehead St.,91.1,112.7
Jacksonville,93.2,115.7
The Citadel,91.0,115.4
Army,87.9,114.4
Prairie View A&M,86.9,114.6
Morgan St.,79.4,110.5
Savannah St.,80.4,118.6

