team,adjO,adjD
Army,105.1,110.4
Winthrop,103.2,108.6
Texas A&M Corpus Chris,105.2,110.6
FIU,101.4,106.9
North Texas,99.4,104.9
Eastern Washington,105.7,111.3
Hartford,102.2,107.8
UNC Asheville,106.7,112.5
Marshall,99.9,105.7
Western Carolina,103.7,109.5
Saint Peter's,98.1,103.9
East Carolina,106.0,111.8
Seattle,100.4,106.3
Grand Canyon,105.3,111.3
Lehigh,98.0,104.1
East Tennessee St.,103.5,109.6
Florida Atlantic,101.1,107.5
Lafayette,109.3,115.7
Loyola Chicago,102.2,108.7
Gardner Webb,99.0,105.6
High Point,106.0,112.6
Cal St. Fullerton,100.9,107.5
Troy,101.9,108.8
Louisiana Monroe,97.5,104.5
Air Force,99.6,106.6
South Alabama,101.1,108.1
Idaho,105.4,112.5
South Dakota,101.7,108.9
Radford,106.9,114.3
Penn,99.1,106.6
Norfolk St.,102.9,110.3
Texas Southern 6,106.7,114.1
Idaho St.,104.0,111.6
Incarnate Word,102.7,110.3
Northern Arizona,100.4,108.1
North Florida,103.3,111.1
North Dakota,104.3,112.1
Lipscomb,103.4,111.5
Hofstra,105.1,113.2
James Madison,98.5,106.8
Tennessee Tech,100.2,108.5
Monmouth,96.8,105.3
Niagara,101.9,110.7
Fairfield,95.6,104.5
UMKC,98.4,107.4
UC Riverside,98.7,107.7
Western Illinois,94.1,103.2
Illinois Chicago,100.4,109.5
Sacramento St.,103.4,112.8
Texas St.,94.9,104.3
Portland St.,102.3,111.7
Chattanooga,100.6,110.1
UNC Wilmington,96.0,105.7
Savannah St.,91.7,101.6
Fairleigh Dickinson,102.2,112.8
Liberty,101.3,112.6
Chicago St.,98.1,109.4
Tulane,99.7,111.1
Central Michigan,106.3,117.7
Austin Peay,99.6,111.2
Tennessee St.,101.9,113.6
San Jose St.,94.5,106.3
SIU Edwardsville,100.6,112.5
Georgia Southern,98.3,110.4
Loyola MD,97.1,109.3
Coppin St.,100.3,112.6
Jackson St.,93.7,106.3
Texas Pan American,93.7,106.5
Ball St.,96.5,109.6
Florida A&M,94.9,108.1
Alabama St.,97.3,110.5
Rice,94.7,107.9
Eastern Illinois,98.7,112.0
Sacred Heart,99.3,112.7
Montana St.,95.0,108.5
Jacksonville,103.2,116.8
Nicholls St.,98.0,111.6
Central Connecticut,97.4,111.1
Alabama A&M,92.0,105.8
NJIT,96.6,110.5
Navy,93.0,106.8
Jacksonville St.,98.2,112.3
McNeese St.,97.9,112.0
Northern Kentucky,102.7,116.8
Southeastern Louisiana,98.7,112.8
UTSA,100.9,115.6
St. Francis PA,96.4,111.1
UNC Greensboro,93.9,108.9
UC Davis,101.3,116.4
New Orleans,96.1,111.4
Tennessee Martin,103.2,118.6
LIU Brooklyn,103.0,118.6
Delaware St.,97.1,112.7
Samford,100.9,116.6
UMass Lowell,95.3,111.4
UMBC,92.6,108.7
Alcorn St.,93.4,109.8
Prairie View A&M,96.1,113.0
Arkansas Pine Bluff,91.7,108.7
Campbell,98.5,115.9
New Hampshire,88.7,106.4
Central Arkansas,95.3,113.1
IUPUI,96.2,114.3
Appalachian St.,92.0,110.7
Howard,87.7,106.6
Binghamton,91.7,111.1
North Carolina A&T,93.7,113.3
Stetson,94.5,114.5
Maryland Eastern Shore,99.1,119.3
Bethune Cookman,96.5,116.8
Kennesaw St.,92.0,112.3
Maine,95.5,116.0
Cornell,100.4,120.9
Houston Baptist,91.5,112.2
Furman,94.9,115.6
Lamar,93.1,113.8
South Carolina St.,91.5,112.7
The Citadel,96.3,118.5
Longwood,95.6,118.5
Mississippi Valley St.,93.0,115.9
Abilene Christian,94.0,117.3
Presbyterian,94.2,120.0
Grambling St.,95.5,122.1
Southern Utah,87.4,114.6

