team,adjO,adjD
Mercer,105.8,107.5
DePaul,104.5,106.2
Loyola Chicago,100.0,101.8
UCF,102.1,104.0
Washington St.,103.7,105.9
Wofford,106.3,108.5
Wagner,100.7,103.1
Auburn,101.7,104.2
East Carolina,103.2,105.9
Lehigh,104.9,107.6
Minnesota,101.5,104.3
Charlotte,105.8,108.7
Western Carolina,101.5,104.4
Denver,102.9,105.9
Tennessee Tech,108.5,111.6
Eastern Washington,111.8,115.1
George Mason,101.5,104.8
North Dakota,99.6,103.0
Tulane,97.9,101.3
Eastern Kentucky,107.4,111.0
NJIT,102.3,105.9
Cal Poly,107.6,111.3
Navy,99.4,103.1
San Francisco,107.4,111.1
Portland,107.1,111.1
IUPUI,99.9,103.9
Fairfield,103.8,107.9
Tennessee Martin,104.9,109.2
Georgia Southern,105.0,109.3
St. John's,97.8,102.2
Texas St.,99.5,103.9
Sam Houston St.,102.6,107.2
Idaho,98.6,103.5
UTEP,102.6,107.6
South Dakota,106.0,111.0
Austin Peay,104.5,109.6
Loyola Marymount,103.7,108.9
Saint Peter's,96.7,102.0
UNC Greensboro,102.2,107.5
Samford,103.0,108.2
Radford,104.2,109.5
Rider,99.3,104.7
Missouri St.,100.4,105.8
Boston College,95.3,100.8
Saint Louis,96.9,102.4
Pacific,100.6,106.3
FIU,103.2,108.8
Southern,100.5,106.3
Bowling Green,100.9,106.7
Boston University,102.8,108.7
Western Illinois,101.2,107.1
UC Riverside,100.1,106.1
Dartmouth,99.5,105.5
New Hampshire,99.9,105.9
Gardner Webb,100.7,106.8
Canisius,108.1,114.4
South Florida,98.3,104.8
Cal St. Northridge,100.9,107.4
Jackson St.,95.7,102.3
UC Davis,93.9,100.5
Air Force,99.1,106.0
Incarnate Word,102.1,109.1
Santa Clara,101.8,108.9
Drexel,99.5,106.7
Montana St.,106.5,113.7
Miami OH,97.4,104.7
Hampton,99.8,107.2
San Jose St.,97.2,104.7
UMKC,103.2,110.7
Arkansas St.,100.3,107.8
Norfolk St.,105.6,113.1
Penn,100.1,107.7
Army,99.5,107.0
Northern Kentucky,100.7,108.4
Colgate,104.0,111.7
Manhattan,98.8,106.6
Appalachian St.,102.7,110.9
South Alabama,95.8,104.1
Portland St.,102.1,110.4
Kennesaw St.,101.6,110.2
Drake,104.1,112.7
Mount St. Mary's,93.7,102.4
Cal St. Fullerton,101.7,110.5
Brown,102.4,111.6
Eastern Illinois,100.5,109.8
La Salle,99.2,108.5
South Carolina St.,103.3,112.8
San Diego,93.9,103.7
Idaho St.,99.1,109.0
Jacksonville,100.2,110.1
Rice,105.7,115.8
Sacramento St.,98.8,108.9
Lipscomb,101.5,111.6
Delaware,101.5,111.7
Cornell,98.2,108.5
Houston Baptist,101.6,112.0
Stetson,104.0,114.5
Rutgers,97.5,108.1
Fairleigh Dickinson,104.4,115.0
Troy,98.3,109.0
Youngstown St.,103.2,113.9
Utah Valley,99.6,110.3
St. Francis NY,93.9,105.2
Holy Cross,97.1,108.5
Alabama St.,99.1,110.7
LIU Brooklyn,100.1,111.9
Loyola MD,100.8,112.6
North Texas,100.8,112.7
Cleveland St.,91.6,103.5
Quinnipiac,91.9,103.8
Liberty,98.7,110.8
Florida Atlantic,95.7,108.1
Seattle,94.3,106.7
Longwood,100.4,112.9
Jacksonville St.,98.3,110.9
Campbell,100.2,113.0
Charleston Southern,99.2,112.1
St. Francis PA,100.4,113.4
Sacred Heart,99.6,112.7
Alabama A&M,100.1,113.4
North Carolina Central,98.3,111.6
Robert Morris,91.8,105.2
Morgan St.,94.9,108.5
Southern Miss,96.5,110.3
Bethune Cookman,97.9,111.9
Marist,102.0,116.0
Niagara,94.1,108.2
VMI,97.0,111.2
Southeastern Louisiana,98.0,112.4
SIU Edwardsville,95.2,109.6
The Citadel,103.1,117.6
Alcorn St.,98.0,112.6
Northern Colorado,103.3,118.0
UMass Lowell,100.6,115.6
New Orleans,96.4,111.4
Abilene Christian,97.1,112.3
Maryland Eastern Shore,98.5,113.8
American,92.1,107.4
Lamar,97.3,112.8
Central Arkansas,100.9,116.9
USC Upstate,100.6,116.6
Bradley,86.6,102.6
Hartford,99.7,115.8
Binghamton,88.2,104.4
Lafayette,99.6,116.0
McNeese St.,97.8,114.3
Presbyterian,93.7,110.2
Howard,93.5,110.1
Northwestern St.,101.6,118.2
Nicholls St.,92.2,108.9
Savannah St.,87.4,104.2
Coppin St.,95.9,113.1
UMBC,99.9,117.7
Illinois Chicago,89.9,107.7
Maine,96.3,114.5
Prairie View A&M,89.0,107.6
UTSA,97.9,116.9
North Carolina A&T,95.7,114.7
Southeast Missouri St.,91.2,110.5
Mississippi Valley St.,91.5,110.8
Southern Utah,98.2,118.5
Northern Arizona,92.5,113.1
Arkansas Pine Bluff,89.0,109.7
Grambling St.,88.4,109.7
Bryant,93.2,114.9
Chicago St.,91.8,114.0
UT Rio Grande Valley,95.1,117.4
Florida A&M,83.7,108.3
Delaware St.,88.5,113.3
Central Connecticut,92.5,119.3

