team,adjO,adjD
Nevada,108.5,101.9
Cincinnati,104.8,98.2
Cleveland St.,103.3,96.7
Winthrop,99.5,93.1
Boston College,108.9,102.6
South Carolina,109.1,103.0
Seton Hall,110.5,104.5
UTEP,106.7,100.9
Utah St.,114.6,108.9
North Carolina St.,107.6,101.9
South Florida,107.4,102.0
Portland St.,108.6,103.2
Illinois Chicago,104.8,99.5
DePaul,111.8,106.6
LSU,104.9,99.7
Wright St.,104.0,98.9
UC Santa Barbara,102.3,97.3
Old Dominion,106.5,101.6
Valparaiso,107.9,103.2
San Diego,101.6,97.0
Northern Iowa,105.9,101.3
Rider,108.2,103.6
Cornell,110.1,105.7
Iowa St.,101.7,97.4
Colorado,104.7,100.4
Boise St.,108.7,104.8
UMBC,113.2,109.3
Georgia Southern,106.0,102.2
Belmont,109.7,106.2
Penn St.,107.7,104.2
Cal St. Northridge,102.2,98.7
Indiana St.,105.9,102.7
North Texas,105.9,102.8
Brown,108.9,105.8
Niagara,106.7,103.7
North Dakota St.,107.0,104.1
Michigan,104.4,101.7
Sam Houston St.,96.5,93.8
Marshall,106.2,103.6
St. John's,98.6,96.2
Appalachian St.,105.8,103.4
Oakland,111.7,109.3
Pacific,107.1,104.7
Robert Morris,103.3,101.1
Green Bay,107.1,105.1
Iowa,98.8,96.8
La Salle,107.4,105.5
Marist,106.3,104.4
Auburn,109.8,107.8
American,107.9,106.3
Richmond,101.4,99.9
Northern Arizona,105.6,104.2
Northeastern,103.2,101.7
Wichita St.,104.3,102.8
Santa Clara,100.9,99.6
Air Force,100.9,99.7
Saint Louis,100.9,100.0
Chattanooga,102.4,101.5
Fordham,103.2,102.5
Lamar,108.1,107.6
UC Irvine,104.2,103.8
UNC Wilmington,108.2,107.9
Loyola MD,108.1,108.0
Tulane,102.1,102.2
Middle Tennessee,104.9,105.1
College of Charleston,106.7,106.9
Milwaukee,100.7,100.9
Austin Peay,104.6,104.9
Morgan St.,100.0,101.0
Holy Cross,101.3,102.3
George Washington,100.9,102.0
UNC Asheville,107.2,108.4
Mount St. Mary's,99.3,100.6
East Tennessee St.,103.9,105.3
Vermont,101.0,102.7
Albany,103.1,104.9
TCU,100.7,102.5
Central Michigan,103.1,105.2
New Orleans,104.7,106.7
UT Arlington,101.3,103.6
Buffalo,100.6,103.1
Eastern Michigan,104.7,107.2
Rutgers,96.2,98.8
Elon,98.0,100.6
Lafayette,106.5,109.2
Weber St.,99.6,102.4
High Point,103.3,106.0
Gardner Webb,103.6,106.6
William & Mary,100.3,103.3
Fresno St.,98.8,101.8
Northwestern,105.3,108.5
Colgate,98.1,101.3
Arkansas Little Rock,95.0,98.3
Wyoming,100.8,104.1
Louisiana Lafayette,97.6,101.0
Montana,106.9,110.4
Lipscomb,101.3,104.9
IPFW,100.5,104.4
Loyola Chicago,100.1,104.0
Navy,101.5,105.4
Central Connecticut,104.3,108.3
Murray St.,104.3,108.3
Wofford,106.7,110.8
Bowling Green,100.5,104.8
Liberty,103.6,108.2
Alabama St.,102.0,106.5
Delaware,97.7,102.3
Southeastern Louisiana,95.9,100.5
Sacred Heart,101.7,106.4
Fairfield,105.2,110.1
Jacksonville,102.1,107.1
Hampton,94.4,99.6
LIU Brooklyn,100.6,105.8
Hofstra,97.9,103.0
Utah Valley St.,105.0,110.2
James Madison,103.9,109.3
Evansville,98.8,104.3
St. Bonaventure,104.7,110.2
Iona,95.2,100.9
Southern Utah,102.2,108.0
Toledo,94.1,99.9
Youngstown St.,97.9,103.8
Florida Atlantic,102.7,108.6
Binghamton,100.0,105.9
East Carolina,103.8,109.9
Boston University,97.2,103.3
Pepperdine,99.9,106.3
Wagner,97.1,103.6
Tennessee St.,104.1,110.8
Montana St.,104.8,111.8
Hawaii,102.2,109.2
Yale,99.9,107.1
Denver,98.4,105.5
Ball St.,95.7,102.9
Northern Colorado,100.0,107.3
McNeese St.,96.6,103.8
Quinnipiac,104.8,112.2
Manhattan,101.8,109.3
Troy,104.5,111.9
Towson,99.2,106.7
Bucknell,95.8,103.3
Nicholls St.,94.9,102.4
Western Carolina,98.6,106.1
Texas Pan American,105.5,113.2
Hartford,102.4,110.1
Oregon St.,95.3,103.3
Tennessee Martin,106.1,114.2
Eastern Washington,96.3,104.4
Tennessee Tech,99.9,108.1
Lehigh,96.6,104.8
Detroit,100.7,109.0
Georgia St.,98.3,106.8
Northwestern St.,98.5,107.1
San Francisco,99.1,107.7
VMI,105.4,114.1
Western Illinois,98.4,107.1
Drexel,90.8,99.4
UMKC,100.0,108.7
San Jose St.,97.9,106.7
FIU,93.0,102.0
Texas St.,100.9,110.0
Columbia,97.3,106.5
Chicago St.,102.3,111.6
Army,89.3,98.8
Colorado St.,101.8,111.6
Northern Illinois,96.9,106.7
Cal Poly,95.1,105.0
Portland,98.9,108.8
Louisiana Monroe,102.1,112.1
Arkansas St.,104.9,115.2
Stetson,93.7,104.0
Texas A&M Corpus Chris,96.7,107.1
Centenary,99.9,110.5
South Dakota St.,99.0,109.6
Delaware St.,101.3,112.5
New Hampshire,97.2,108.5
Saint Peter's,94.8,106.2
Eastern Kentucky,97.6,109.1
Central Arkansas,94.2,105.8
Harvard,99.7,111.5
Mercer,97.6,109.5
UTSA,94.6,106.5
SMU,95.0,107.0
USC Upstate,93.7,105.8
Savannah St.,88.1,100.4
Coastal Carolina,99.1,111.5
Morehead St.,95.3,107.9
Campbell,96.1,108.8
Penn,96.1,108.8
Norfolk St.,97.0,110.0
Furman,95.3,108.6
Idaho,96.3,109.7
Presbyterian,97.6,111.2
UC Riverside,93.7,107.3
Idaho St.,95.8,109.9
St. Francis NY,92.8,107.0
Radford,95.9,110.2
Coppin St.,92.4,106.8
Samford,96.9,111.4
Stony Brook,92.5,107.1
Florida A&M,94.3,109.0
Rice,86.7,101.5
Fairleigh Dickinson,99.9,114.7
Long Beach St.,96.3,111.2
Canisius,95.0,110.1
Mississippi Valley St.,91.9,107.1
Florida Gulf Coast,94.5,109.8
North Carolina A&T,96.1,111.5
Monmouth,93.0,108.5
Southeast Missouri St.,96.1,111.7
Kennesaw St.,94.4,110.0
Princeton,93.2,108.9
Dartmouth,92.4,108.3
Southern,90.0,106.1
Jackson St.,93.0,109.2
Charleston Southern,99.1,115.6
South Carolina St.,95.5,112.1
Alabama A&M,89.4,106.2
St. Francis PA,97.1,114.3
Cal St. Bakersfield,96.7,114.0
UC Davis,97.9,115.6
Maine,92.6,110.4
Winston Salem St.,89.7,107.9
Bethune Cookman,92.1,110.5
Eastern Illinois,95.7,114.1
Jacksonville St.,97.4,115.8
Longwood,97.9,116.5
Louisiana Tech,93.3,112.4
Arkansas Pine Bluff,87.7,107.3
The Citadel,94.9,115.9
Prairie View A&M,89.8,111.6
Loyola Marymount,91.2,113.6
Sacramento St.,90.0,112.4
North Carolina Central,85.3,108.5
Texas Southern,88.3,111.5
Howard,85.9,109.2
North Florida,86.3,109.9
Grambling St.,90.9,115.2
Alcorn St.,93.5,118.3
Maryland Eastern Shore,86.1,114.4
NJIT,77.2,110.0

