team,adjO,adjD
Toledo,114.1,109.0
Georgia Tech,103.9,98.9
Saint Joseph's,105.7,100.7
Minnesota,109.0,104.0
College of Charleston,109.9,105.1
UC Santa Barbara,111.9,107.2
Missouri St.,108.5,104.0
San Diego,104.7,100.4
Northern Iowa,103.3,99.1
Idaho,109.5,105.8
Bradley,104.5,100.8
Penn,103.5,99.8
UC Davis,104.7,101.1
Eastern Washington,108.3,104.8
Canisius,107.8,104.3
UT Arlington,105.8,102.4
Florida Gulf Coast,108.3,104.9
Rutgers,99.4,96.5
Iona,110.2,107.4
Wright St.,101.0,98.2
Utah St.,107.5,104.9
Southern Illinois,106.3,103.7
Evansville,99.5,96.9
UC Irvine,100.5,98.0
Rider,109.3,106.8
San Francisco,103.1,100.8
VCU,106.4,104.1
Indiana St.,104.8,102.6
Eastern Michigan,103.4,101.2
Harvard,101.4,99.3
Saint Louis,102.4,100.3
Illinois St.,105.8,103.7
Mercer,112.0,110.2
Jacksonville St.,102.1,100.3
Georgia Southern,106.3,104.5
Valparaiso,103.2,101.6
Albany,107.2,105.9
Cal St. Fullerton,105.0,103.6
Louisiana Tech,106.9,105.7
Wofford,108.7,107.6
Weber St.,107.1,106.0
La Salle,105.1,104.1
Towson,106.1,105.1
Drake,106.3,105.3
Memphis,107.9,106.9
Hofstra,111.2,110.4
Winthrop,106.3,105.5
Portland St.,108.6,107.9
Fort Wayne,108.1,107.6
Lipscomb,103.8,103.4
Pacific,107.2,106.9
Tulane,107.2,107.0
Central Michigan,109.1,109.0
Dayton,108.6,108.6
Radford,103.6,103.6
William & Mary,115.4,115.5
Wagner,103.8,103.9
North Dakota St.,105.4,105.6
Ball St.,103.6,103.8
Connecticut,105.3,105.5
UTSA,105.3,105.6
Troy,106.4,106.8
Oakland,107.3,108.1
Liberty,104.5,105.3
Richmond,107.6,108.4
Monmouth,103.9,105.0
Washington St.,108.8,110.2
Nicholls St.,103.6,105.2
UMBC,103.3,105.3
North Texas,103.2,105.3
Long Beach St.,106.5,108.7
Western Michigan,106.5,108.7
Seattle,104.4,106.7
Austin Peay,105.2,107.5
Southeastern Louisiana,103.4,105.8
Princeton,105.6,108.1
UNC Asheville,105.8,108.3
Miami OH,99.4,101.9
George Washington,103.7,106.4
Ohio,100.8,103.8
Hawaii,99.6,102.7
Yale,104.0,107.2
Tennessee St.,97.8,101.2
Niagara,110.6,114.1
Duquesne,104.9,108.5
Central Arkansas,106.1,109.7
Lamar,102.2,105.8
Illinois Chicago,100.8,104.5
St. Francis PA,107.5,111.2
Milwaukee,100.1,103.9
Denver,103.0,106.9
Massachusetts,106.7,110.8
Appalachian St.,103.7,107.8
Coastal Carolina,102.1,106.2
Colgate,105.3,109.4
Fairfield,102.4,106.6
Sam Houston St.,102.1,106.6
Kent St.,102.4,106.9
Saint Peter's,95.9,100.8
Manhattan,99.6,104.5
Southern Miss,105.7,110.6
Tennessee Tech,98.8,103.9
Hartford,103.0,108.2
George Mason,102.4,107.6
South Alabama,97.2,102.5
Loyola Marymount,107.9,113.3
Idaho St.,103.6,109.1
Louisiana Monroe,101.1,106.6
Colorado St.,103.0,108.5
Stony Brook,96.9,102.5
Pittsburgh,99.2,104.8
Campbell,104.8,110.4
Texas St.,100.1,105.8
Navy,98.9,104.7
Oral Roberts,106.3,112.3
Mount St. Mary's,104.1,110.2
Air Force,100.9,107.0
North Dakota,103.4,109.6
Columbia,107.5,113.7
FIU,98.3,104.5
James Madison,101.5,107.7
Bowling Green,102.4,108.6
Lehigh,106.0,112.3
Cal St. Bakersfield,97.9,104.1
High Point,100.4,107.0
California,98.7,105.5
Florida Atlantic,95.8,102.8
UTEP,97.9,105.1
Southern Utah,102.7,110.1
Robert Morris,95.2,102.7
Hampton,101.7,109.3
Charleston Southern,99.6,107.2
UNC Wilmington,104.5,112.1
Texas Southern,105.3,112.9
Delaware,102.2,109.9
Elon,103.8,111.6
LIU Brooklyn,103.3,111.1
Drexel,103.1,111.0
Northern Illinois,103.5,111.5
NJIT,98.8,106.9
Southeast Missouri St.,108.7,116.8
Eastern Illinois,99.3,107.5
Akron,102.1,110.3
UT Rio Grande Valley,99.5,107.9
Boston University,100.4,108.8
Gardner Webb,97.8,106.4
Abilene Christian,98.5,107.1
UC Riverside,94.9,103.7
Pepperdine,105.7,114.5
Army,100.0,108.9
Portland,99.6,108.5
Cornell,104.8,113.8
Montana St.,102.4,111.6
New Orleans,98.3,107.4
Brown,101.1,110.3
Green Bay,99.8,109.1
Prairie View A&M,101.6,110.9
Santa Clara,99.8,109.5
Fairleigh Dickinson,102.6,112.5
UMKC,98.7,108.8
Morehead St.,99.3,109.4
Quinnipiac,102.1,112.4
Lafayette,102.1,112.4
Nebraska Omaha,104.5,114.9
South Florida,99.1,109.5
Arkansas St.,104.8,115.3
Sacramento St.,100.2,110.6
New Hampshire,98.3,108.9
North Florida,107.9,118.6
Bethune Cookman,99.8,111.0
Eastern Kentucky,101.9,113.0
IUPUI,98.2,109.5
UMass Lowell,103.6,115.0
Western Illinois,96.5,108.0
Holy Cross,97.7,109.2
McNeese St.,100.8,112.3
Fordham,94.7,106.4
Little Rock,94.2,106.0
Tennessee Martin,95.8,107.5
Rice,99.0,110.8
Grambling St.,94.5,106.3
Samford,108.1,120.0
San Jose St.,95.9,107.9
Dartmouth,98.7,110.9
Siena,96.8,109.0
Western Carolina,96.1,108.3
Binghamton,97.5,109.8
Sacred Heart,96.4,108.8
Chattanooga,99.6,112.1
North Carolina A&T,98.4,111.0
Cleveland St.,97.8,110.5
Central Connecticut,98.3,111.0
East Carolina,97.1,109.8
North Carolina Central,98.1,110.9
St. Francis NY,99.0,111.9
Texas A&M Corpus Chris,94.9,107.8
Kennesaw St.,99.1,112.0
Norfolk St.,95.7,108.8
Stetson,98.7,112.1
The Citadel,101.9,115.3
Savannah St.,101.3,114.7
Charlotte,99.2,112.8
SIU Edwardsville,99.7,113.4
Jacksonville,94.4,108.7
Marist,98.8,113.2
Cal Poly,98.7,113.3
Detroit,102.6,117.2
Morgan St.,96.6,111.4
Loyola MD,96.4,111.2
Youngstown St.,101.4,116.5
Northern Arizona,93.9,109.5
Southern,94.4,110.1
Cal St. Northridge,97.2,113.3
American,95.8,112.1
Arkansas Pine Bluff,93.7,110.3
VMI,90.3,107.7
Houston Baptist,99.2,116.8
Maine,91.0,108.8
Presbyterian,98.1,115.9
Howard,99.7,118.7
Alcorn St.,95.2,114.8
Jackson St.,89.6,109.4
USC Upstate,105.5,125.3
Alabama St.,96.0,116.1
Longwood,89.9,110.4
Florida A&M,95.9,117.0
Incarnate Word,93.8,115.3
South Carolina St.,97.1,118.9
Bryant,99.1,120.9
Northwestern St.,88.7,110.9
Chicago St.,96.9,119.4
Coppin St.,86.7,110.7
Mississippi Valley St.,90.5,114.8
Maryland Eastern Shore,91.1,118.1
Delaware St.,90.5,118.5
Alabama A&M,86.7,115.3

